'Приложение № 1'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД), '|||||||||||||||||||||||||||||||||||||
'"находящихся в управлении ООО ""ЖКС №№ 1-4"", ОАО ""РСУ Приморского района"""'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'"Графы ""1""-""10"" заполнять по всем многоквартирным домам района"'|||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Примечание'
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса'|'Номер строения'|'Код дома БТИ'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа'|'Тип дома'|'Серия дома'|'Год постройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'Количество подъездов'|'Количество квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'||||||||||||||
'(да/нет)"'|'"ГВС'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'Электроэнергия'|'ХВС'|'ГВС'|'Тепловая энергия'|'Газ'|||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38
159|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|22|3||34269|'ООО ЖКС №2'||'Хрущевка'|'1-527КП'|1961|'кирпичные'|5|0|4|80|3720,1|3720,1|3425,1|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
160|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|22|4||34270|'ООО ЖКС №2'||'Хрущевка'|'1-527КП'|1962|'кирпичные'|5|0|3|60|2746,6|2746,6|2512,6|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
161|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|22|5||34271|'ООО ЖКС №2'||'Хрущевка'|'1-527КП'|1962|'кирпичные'|5|0|4|79|3753,2|3753,2|3433,2|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
162|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|22|6||34272|'ООО ЖКС №2'||'Хрущевка'|'1-527КП'|1964|'кирпичные'|5|0|3|60|2691|2691|2468|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0|
163|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|22|7||34273|'ООО ЖКС №2'||'Хрущевка'|'1-527КП'|1962|'кирпичные'|5|0|4|80|3709,9|3709,9|3403,9|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
164|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|24|1||34274|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1961|'кирпичные'|5|0|4|64|3712,1|3712,1|2755,9|705,2|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
165|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|24|2||34275|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1961|'кирпичные'|5|0|5|100|4626,2|4626,2|4146,2|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
166|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|24|3||34276|'ООО ЖКС №2'||'Хрущевка'|'1-527КП'|1962|'кирпичные'|5|0|4|80|3729|3729|3425|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
167|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|24|4||34277|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1962|'кирпичные'|5|0|3|56|2752,7|2752,7|2370,7|141|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0|
168|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|24|6||34278|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1962|'кирпичные'|5|0|3|56|2729,3|2729,3|2353,3|143|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
169|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|25|||34279|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1961|'панельные'|5|0|4|80|3786,4|3786,4|3484,4|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
170|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|27|||34280|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1961|'панельные'|6|0|4|80|4975,2|4975,2|3658,2|948|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0|
171|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|29|||34281|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1961|'панельные'|5|0|4|80|3805,1|3805,1|3507,1|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
172|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|3|||34282|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1961|'кирпичные'|5|0|3|60|2754,4|2754,4|2491,6|37,8|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|0|1|0|1|0|
173|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|3|2||34283|'ООО ЖКС №2'||'Сталинка'|'1-405'|1958|'кирпичные'|5|0|4|60|4365,9|4365,9|3661,4|302,5|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
174|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|39|||34284|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1960|'панельные'|5|0|4|80|3719,9|3719,9|3416,9|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
175|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|4|||34285|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1961|'кирпичные'|5|0|3|60|2691,8|2691,8|2479,8|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
176|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|43|||34286|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1960|'панельные'|6|0|4|80|4787,9|4787,9|3481,1|937,8|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0|
177|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|45|||34287|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1959|'панельные'|5|0|4|80|3795,6|3795,6|3493,6|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
178|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|49|||34288|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1959|'панельные'|5|0|4|80|3801|3801|3499|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|0|1|1|1|0|
179|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|5|||34289|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1961|'кирпичные'|5|0|4|64|3825,3|3825,3|2752,9|726,4|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|0|0|0|0|
180|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|59|||34290|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1960|'кирпичные'|5|0|11|204|10198,6|10198,6|8618,5|728,1|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|2|3|3|0|
181|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|61|||34291|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1960|'кирпичные'|5|0|4|80|3733,7|3733,7|3429,7|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0|
182|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|65|||34292|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1961|'кирпичные'|5|0|7|124|6574,2|6574,2|5235,7|766,5|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|2|2|0|
183|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|69|||34293|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1961|'кирпичные'|5|0|7|124|7246,2|7246,2|5937,9|795,3|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|2|2|0|
184|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|7|||34294|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1960|'кирпичные'|5|0|2|40|1762,2|1762,2|1581,2|31|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|0|0|
185|'Приморский '|'"МО МО ""Черная речка"""'|'Ланское ш. '|8|||34295|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1960|'кирпичные'|5|0|4|64|3856,6|3856,6|2499,9|1010,7|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
186|'Приморский '|'"МО МО ""Черная речка"""'|'Липовая ал. '|11|||34296|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1961|'кирпичные'|5|0|4|76|3807,5|3807,5|3380,4|117,1|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|0|1|0|1|0|
187|'Приморский '|'"МО МО ""Черная речка"""'|'Лисичанская ул. '|14|||34297|'ООО ЖКС №2'||'Сталинка'|'1-405'|1958|'кирпичные'|5|0|4|60|4615,8|4615,8|3655,7|628,1|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
188|'Приморский '|'"МО МО ""Черная речка"""'|'Лисичанская ул. '|8|||34298|'ООО ЖКС №2'||'инд.'|'инд.'|1916|'кирпичные'|6|0|4|57|3805,7|3805,7|3307,7|0|'да'|'да'|'нет'|'да'|'да'|'да'|'нет'|'да'|'нет'|4|1|1|0|0|0|
189|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|10|||34299|'ООО ЖКС №2'||'Сталинка'|'1-405'|1958|'кирпичные'|5|0|7|90|7808,1|7808,1|5776|1403,1|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|0|1|0|1|0|
190|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|12|||342100|'ООО ЖКС №2'||'Сталинка'|'1-405'|1959|'кирпичные'|6|0|8|96|8274,25|8274,25|6504,7|1064,55|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
191|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|16|||342101|'ООО ЖКС №2'||'Сталинка'|'1-405'|1959|'кирпичные'|5|0|5|68|5625,5|5625,5|4194,2|926,3|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
192|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|18|||342102|'ООО ЖКС №2'||'Сталинка'|'1-405'|1959|'кирпичные'|5|0|5|68|5556,4|5556,4|4260|795,4|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
193|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|20|||342103|'ООО ЖКС №2'||'Сталинка'|'1-405'|1959|'кирпичные'|5|0|5|75|5224|5224|4721|0|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
194|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|22|||342104|'ООО ЖКС №2'||'инд.'|'инд.'|1991|'кирпичные'|6|0|2|60|4139,4|4139,4|3446,3|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|2|1|1|1|1|0|
195|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|24|||342105|'ООО ЖКС №2'||'Сталинка'|'1-405'|1961|'кирпичные'|5|0|5|68|4946|4946|4240,2|208,8|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
196|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|26|||342106|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1960|'кирпичные'|5|0|3|60|2733|2733|2514|0|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|0|0|
197|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|29|||342107|'ООО ЖКС №2'||'Сталинка'|'1-405'|1959|'кирпичные'|5|0|3|40|2896,9|2896,9|2618,9|719|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|0|0|1|0|
198|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|31|||342108|'ООО ЖКС №2'||'Сталинка'|'1-405'|1958|'кирпичные'|5|0|5|65|5933,35|5933,35|3806,8|1570,55|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|0|1|0|0|0|
199|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|4|||342109|'ООО ЖКС №2'||'Сталинка'|'1-405'|1957|'кирпичные'|5|0|5|67|5565,6|5565,6|4224,2|835,4|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
200|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|49|||342110|'ООО ЖКС №2'||'инд.'|'инд.'|1907|'кирпичные'|5|0|3|39|3870,7|3870,7|3272,9|152,8|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|2|1|1|0|1|0|
201|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|51|||342111|'ООО ЖКС №2'||'инд.'|'инд.'|1916|'кирпичные'|5|0|2|36|5415,6|5415,6|4348,7|696,9|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|2|1|1|0|1|0|
202|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|'51б'|||342112|'ООО ЖКС №2'||'инд.'|'инд.'|1916|'кирпичные'|5|0|2|44|3053,1|3053,1|2512,7|174,4|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|2|1|1|1|1|0|
203|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|59|||342113|'ООО ЖКС №2'||'Хрущевка'|'1-532КП'|1960|'кирпичные'|5|0|3|30|3482,2|3482,2|2954,7|303,5|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
204|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|59|2||342114|'ООО ЖКС №2'||'инд.'|'инд.'|1975|'кирпичные'|5|0|2|33|1988,3|1988,3|1772,3|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
205|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|6|||342115|'ООО ЖКС №2'||'Сталинка'|'1-405'|1957|'кирпичные'|5|0|4|55|4341|4341|3433|564|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|0|0|
206|'Приморский '|'"МО МО ""Черная речка"""'|'наб.Черной речки '|8|||342116|'ООО ЖКС №2'||'Сталинка'|'1-405'|1958|'кирпичные'|5|0|5|65|6626,5|6626,5|5428|691,5|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
207|'Приморский '|'"МО МО ""Черная речка"""'|'Новосибирская ул.'|1|||342117|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1961|'панельные'|5|0|3|60|2791,2|2791,2|2562,2|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
208|'Приморский '|'"МО МО ""Черная речка"""'|'Новосибирская ул.'|10|||342118|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1960|'кирпичные'|5|0|3|60|2721,8|2721,8|2496,8|0|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
209|'Приморский '|'"МО МО ""Черная речка"""'|'Новосибирская ул.'|11|||342119|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1962|'панельные'|5|0|4|80|3818,8|3818,8|3514,8|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
210|'Приморский '|'"МО МО ""Черная речка"""'|'Новосибирская ул.'|12|||342120|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1960|'кирпичные'|5|0|5|100|4829,8|4829,8|4311,1|61,7|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
211|'Приморский '|'"МО МО ""Черная речка"""'|'Новосибирская ул.'|14|||342121|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1962|'кирпичные'|5|0|3|57|2659,4|2659,4|2315,4|74|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
212|'Приморский '|'"МО МО ""Черная речка"""'|'Новосибирская ул.'|17|||342122|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1962|'панельные'|5|0|3|60|2772,1|2772,1|2549,1|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
213|'Приморский '|'"МО МО ""Черная речка"""'|'Новосибирская ул.'|2|||342123|'ООО ЖКС №2'||'Сталинка'|'1-405'|1958|'кирпичные'|5|0|4|55|4141,3|4141,3|3425,4|382,9|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
214|'Приморский '|'"МО МО ""Черная речка"""'|'Новосибирская ул.'|3|||342124|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1961|'панельные'|5|0|3|60|2803|2803|2575|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
215|'Приморский '|'"МО МО ""Черная речка"""'|'Новосибирская ул.'|4|||342125|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1960|'кирпичные'|5|0|5|100|4477,7|4477,7|4091,7|0|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
216|'Приморский '|'"МО МО ""Черная речка"""'|'Новосибирская ул.'|3|||342126|'ООО ЖКС №2'||'Сталинка'|'1-405'|1959|'кирпичные'|5|0|4|60|4234,1|4234,1|3728|172,1|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
217|'Приморский '|'"МО МО ""Черная речка"""'|'Новосибирская ул.'|9|||342127|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1961|'панельные'|5|0|4|80|3795,1|3795,1|3495,1|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
218|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|10|||342128|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1962|'панельные'|5|0|4|80|3824,8|3824,8|3520,8|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
219|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|12|||342129|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1962|'панельные'|5|0|3|60|2798,1|2798,1|2570,1|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|0|1|1|1|0|
220|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|13|||342130|'ООО ЖКС №2'||'Хрущевка'|'1-528КП'|1961|'кирпичные'|5|0|5|100|4556,2|4556,2|4130,2|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
221|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|14|||342131|'ООО ЖКС №2'||'Хрущевка'|'1-532КП'|1962|'кирпичные'|5|0|4|40|3815,9|3815,9|3356,3|177,6|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
222|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|15|||342132|'ООО ЖКС №2'||'Хрущевка'|'1-527КП'|1961|'кирпичные'|5|0|3|60|2824|2824|2518|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
223|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|19|||342133|'ООО ЖКС №2'||'Хрущевка'|'1-527КП'|1961|'кирпичные'|5|0|4|80|3749,8|3749,8|3455,8|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
224|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|2|||342134|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1960|'панельные'|5|0|3|60|2733|2733|2519|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
225|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|22|||342135|'ООО ЖКС №2'||'Хрущевка'|'1-532КП'|1963|'кирпичные'|5|0|4|40|3846,5|3846,5|3540,5|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
226|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|23|||342136|'ООО ЖКС №2'||'Хрущевка'|'1-527КП'|1962|'кирпичные'|5|0|4|80|3707,5|3707,5|3413,5|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|0|1|1|1|0|
227|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|24|||342137|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1962|'панельные'|5|0|4|80|3814,5|3814,5|3510,5|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0|
228|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|26|||342138|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1962|'панельные'|5|0|5|100|4862,6|4862,6|4482,6|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
229|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|27|||342139|'ООО ЖКС №2'||'Хрущевка'|'1-527КП'|1962|'кирпичные'|5|0|5|100|4506,2|4506,2|4123,2|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
230|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|28|||342140|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1962|'панельные'|5|0|4|80|3843,9|3843,9|3539,9|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
231|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|29|||342141|'ООО ЖКС №2'||'Хрущевка'|'1-527КП'|1962|'кирпичные'|5|0|5|100|4511,6|4511,6|4099,6|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
232|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|4|||342142|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1960|'панельные'|5|0|3|60|2741,6|2741,6|2515,6|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
233|'Приморский '|'"МО МО ""Черная речка"""'|'Омская ул. '|8|||342143|'ООО ЖКС №2'||'Хрущевка'|'1-507'|1959|'панельные'|5|0|4|80|3774|3774|3470|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|
234|'Приморский '|'"МО МО ""Черная речка"""'|'Приморский пр. '|11|||342144|'ООО ЖКС №2'||'инд.'|'инд.'|1901|'кирпичные'|4|0|1|15|1455,8|1455,8|1323,8|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|0|0|0|
235|'Приморский '|'"МО МО ""Черная речка"""'|'Приморский пр. '|13|||342145|'ООО ЖКС №2'||'инд.'|'инд.'|1950|'кирпичные'|4|0|2|16|1433,3|1433,3|1151,2|0|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|0|1|0|0|0|
236|'Приморский '|'"МО МО ""Черная речка"""'|'Приморский пр. '|14|||342146|'ООО ЖКС №2'||'инд.'|'инд.'|1900|'кирпичные'|5|0|2|35|5183|5183|4457|0|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|0|1|0|1|0|
237|'Приморский '|'"МО МО ""Черная речка"""'|'Приморский пр. '|15|||342147|'ООО ЖКС №2'||'инд.'|'инд.'|1950|'кирпичные'|5|0|4|34|3287|3287|2457,8|0|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|
238|'Приморский '|'"МО МО ""Черная речка"""'|'Приморский пр. '|17|||342148|'ООО ЖКС №2'||'инд.'|'инд.'|1952|'кирпичные'|4|0|2|15|1374,9|1374,9|1075,3|0|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|0|0|
239|'Приморский '|'"МО МО ""Черная речка"""'|'Приморский пр. '|19|||342149|'ООО ЖКС №2'||'инд.'|'инд.'|1953|'кирпичные'|3|0|3|28|2073|2073|1802|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|0|0|0|
240|'Приморский '|'"МО МО ""Черная речка"""'|'Приморский пр. '|21|||342150|'ООО ЖКС №2'||'инд.'|'инд.'|1951|'кирпичные'|4|0|1|12|1021,1|1021,1|879,1|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|0|0|0|
241|'Приморский '|'"МО МО ""Черная речка"""'|'Приморский пр. '|22|||342151|'ООО ЖКС №2'||'инд.'|'инд.'|1917|'кирпичные'|3|0|2|12|774,2|774,2|424|0|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|0|0|
